iter	RMSE
0	11.55468405
1	10.00768415
2	8.939671584
3	8.04522491
4	7.276259952
5	6.682471486
6	6.201416233
7	5.79185454
8	5.431186734
9	5.093368408
10	4.820040938
11	4.550813256
12	4.346708705
13	4.131163122
14	3.8779485
15	3.710409863
16	3.533404369
17	3.389976104
18	3.282453075
19	3.117801225
20	2.999672691
21	2.905537805
22	2.769009339
23	2.688470667
24	2.612112558
25	2.508457393
26	2.445266681
27	2.385537605
28	2.330706984
29	2.288347786
30	2.236536727
31	2.167085309
32	2.127911054
33	2.080316587
34	2.034500165
35	2.000593843
36	1.955116836
37	1.927598108
38	1.903204637
39	1.875686293
40	1.830675394
41	1.799583455
42	1.766696582
43	1.744601336
44	1.714214876
45	1.693138857
46	1.669464247
47	1.650841719
48	1.615742823
49	1.592634352
50	1.573222765
51	1.554887958
52	1.539002949
53	1.521566111
54	1.502335517
55	1.486513003
56	1.459974262
57	1.447827118
58	1.429305719
59	1.412635354
60	1.399384185
61	1.388641579
62	1.374312736
63	1.361286996
64	1.352086185
65	1.341646585
66	1.329055907
67	1.315476594
68	1.304060329
69	1.291511489
70	1.282957832
71	1.27562793
72	1.266853389
73	1.251876382
74	1.234809365
75	1.225922389
76	1.217449317
77	1.211569883
78	1.202335054
79	1.196301018
80	1.189083488
81	1.177862845
82	1.17075138
83	1.160701535
84	1.155589881
85	1.141956396
86	1.131035925
87	1.121816796
88	1.116895486
89	1.111686739
90	1.107428138
91	1.103543811
92	1.092822299
93	1.087319199
94	1.083344984
95	1.073643693
96	1.065195894
97	1.057692181
98	1.049293882
99	1.041234403
100	1.03258327
101	1.026750092
102	1.017770429
103	1.010905833
104	1.001201448
105	0.9957764074
106	0.9924571006
107	0.9889801621
108	0.9827619719
109	0.9763371711
110	0.9725814359
111	0.9671922562
112	0.9608387448
113	0.9588019531
114	0.9508656788
115	0.9460077961
116	0.9407242156
117	0.9349567445
118	0.9301641186
119	0.9250775199
120	0.9192380921
121	0.9169199467
122	0.9132275485
123	0.9069193767
124	0.901108695
125	0.896681748
126	0.8922383725
127	0.8885009631
128	0.8870961912
129	0.8812090075
130	0.878124591
131	0.8753986555
132	0.8712536892
133	0.8688815387
134	0.8661806495
135	0.8624237373
136	0.8601467792
137	0.8566825489
138	0.8555172786
139	0.8512610497
140	0.8477850968
141	0.8427960209
142	0.8362481624
143	0.8330311699
144	0.8284028994
145	0.8222014504
146	0.8163888271
147	0.813138789
148	0.8085777963
149	0.8054524224
150	0.8015424764
151	0.8009222329
152	0.7980390808
153	0.7916928722
154	0.7873739745
155	0.7841359835
156	0.7789749291
157	0.7762761998
158	0.7717627989
159	0.7682251026
160	0.7665498662
161	0.7632978436
162	0.7593685203
163	0.7573062714
164	0.7527644957
165	0.7506447896
166	0.7480955951
167	0.7446103879
168	0.7401275013
169	0.7378934693
170	0.737314756
171	0.7368394298
172	0.7340868884
173	0.7291584298
174	0.7248592575
175	0.7222910315
176	0.7194706502
177	0.7174175763
178	0.7150029847
179	0.711498903
180	0.7111676369
181	0.7071148197
182	0.7051936658
183	0.7008460414
184	0.6999106865
185	0.6996582227
186	0.6977061949
187	0.6961572667
188	0.6923895081
189	0.6893178558
190	0.685166469
191	0.683806831
192	0.6816999698
193	0.6786589703
194	0.6760523272
195	0.6730654099
196	0.669307644
197	0.6671455167
198	0.6642034034
199	0.6613094383
200	0.6582808999
201	0.6559100552
202	0.652503591
203	0.6512406736
204	0.6492175905
205	0.6474963989
206	0.6456222182
207	0.6453582015
208	0.6446313478
209	0.6430193701
210	0.6383380839
211	0.6367773737
212	0.634035011
213	0.6332920857
214	0.6315004479
215	0.62916966
216	0.6271237502
217	0.6247363167
218	0.6231281447
219	0.6208897128
220	0.6177825011
221	0.6156465151
222	0.6125801909
223	0.6109811066
224	0.6091860738
225	0.6064657913
226	0.6062925989
227	0.6041261267
228	0.6035705789
229	0.5996538266
230	0.5934355552
231	0.5917676734
232	0.5892772659
233	0.5873839231
234	0.585832099
235	0.5830630642
236	0.5818677645
237	0.5798169821
238	0.5781871592
239	0.5762472766
240	0.5759395672
241	0.5745872256
242	0.5729607575
243	0.5706652814
244	0.5688076237
245	0.5664062523
246	0.5646522661
247	0.562092234
248	0.5609462116
249	0.5566905015
250	0.5534009348
251	0.5516827289
252	0.55046552
253	0.5490283696
254	0.5474362824
255	0.5456557737
256	0.5454053361
257	0.5440906653
258	0.5434088392
259	0.5419717025
260	0.5408563182
261	0.5395095104
262	0.5391726184
263	0.5369021882
264	0.535174851
265	0.5337210275
266	0.5316361414
267	0.5312341459
268	0.5301118201
269	0.5288962738
270	0.5270315631
271	0.5248436101
272	0.521927143
273	0.5209456665
274	0.5186563763
275	0.5164636259
276	0.5158760145
277	0.514376358
278	0.5128714175
279	0.512718876
280	0.5107964416
281	0.5095130438
282	0.5070956462
283	0.5058597517
284	0.5048721418
285	0.5028852535
286	0.5013961214
287	0.4997026296
288	0.4986836825
289	0.4983025154
290	0.497256094
291	0.4961775996
292	0.4946097867
293	0.4933824678
294	0.4918921144
295	0.4901784228
296	0.489349585
297	0.4884955217
298	0.4872883342
299	0.4857931623
300	0.4850097305
301	0.4844081216
302	0.4834831897
303	0.482473657
304	0.4814415575
305	0.4801670078
306	0.4788795285
307	0.4777820153
308	0.4768625349
309	0.4764023725
310	0.476002255
311	0.4747028312
312	0.4737697029
313	0.4734807998
314	0.4727434391
315	0.4715067538
316	0.4703733962
317	0.4693074326
318	0.4678058035
319	0.4655986224
320	0.4638973757
321	0.4629979186
322	0.4621714422
323	0.4614180559
324	0.4604203822
325	0.459842083
326	0.4576198368
327	0.4565853332
328	0.4552876739
329	0.4551683774
330	0.4542008086
331	0.4530024543
332	0.4517596202
333	0.4510544573
334	0.4500444757
335	0.4483627252
336	0.4470447184
337	0.4469579363
338	0.4463108792
339	0.445400197
340	0.4444104847
341	0.4434948985
342	0.4434501116
343	0.4434121435
344	0.4428129956
345	0.4419903904
346	0.4403750745
347	0.4398041541
348	0.4392213482
349	0.43865044
350	0.4377369559
351	0.4365674235
352	0.4358715622
353	0.4351209337
354	0.4344759926
355	0.4336757256
356	0.4322593535
357	0.431526808
358	0.4310243619
359	0.430527547
360	0.4294685838
361	0.4283599906
362	0.4267155994
363	0.4256009281
364	0.4239966058
365	0.4227243737
366	0.4220731748
367	0.4214353799
368	0.4201573008
369	0.4199173587
370	0.418662656
371	0.4177581747
372	0.4172405159
373	0.4168216457
374	0.4162136139
375	0.4156551323
376	0.4151075124
377	0.414354023
378	0.4134518552
379	0.4134264882
380	0.4125398841
381	0.4117390386
382	0.4112419817
383	0.4105626386
384	0.4101242022
385	0.4092492481
386	0.4086599678
387	0.4075575373
388	0.4065406715
389	0.405075832
390	0.4039621505
391	0.402580144
392	0.4019742516
393	0.4013458855
394	0.4007619573
395	0.3999672423
396	0.3996671204
397	0.3988558397
398	0.398080779
399	0.3978623114
400	0.3973682767
401	0.3967066087
402	0.3956633495
403	0.3950864453
404	0.3946947739
405	0.3939628878
406	0.3931367857
407	0.3924511215
408	0.3915739396
409	0.3905377272
410	0.3898411196
411	0.3892444114
412	0.3890002677
413	0.3883115908
414	0.3876295097
415	0.3871222686
416	0.3867012982
417	0.3860067219
418	0.3849678012
419	0.3841354664
420	0.3837587422
421	0.3827746157
422	0.3818926063
423	0.3810840358
424	0.3801370799
425	0.379636016
426	0.3789943709
427	0.3784493798
428	0.3779669069
429	0.377394365
430	0.3770092572
431	0.3765214292
432	0.3759526407
433	0.3749472942
434	0.3742832975
435	0.3736727411
436	0.372540507
437	0.3716088271
438	0.3711760654
439	0.3701787238
440	0.3700888815
441	0.3694308635
442	0.3689448803
443	0.3683874512
444	0.3681078566
445	0.3673915284
446	0.366560577
447	0.3657114326
448	0.3650077962
449	0.3641533224
450	0.3635822613
451	0.36313234
452	0.3627020596
453	0.3622090132
454	0.3614695203
455	0.3609958873
456	0.3602539948
457	0.3594741004
458	0.3590863712
459	0.3583528035
460	0.3579282659
461	0.3574284471
462	0.3570759036
463	0.3562403484
464	0.3555179728
465	0.3536480539
466	0.352643021
467	0.3516810814
468	0.3504579675
469	0.3499736313
470	0.3496342777
471	0.349196026
472	0.349030927
473	0.3483996436
474	0.3474880295
475	0.3464921638
476	0.3457433311
477	0.3449280561
478	0.3442565693
479	0.3436752976
480	0.3429348009
481	0.3426672231
482	0.3420930651
483	0.3417241243
484	0.3411706853
485	0.3408377094
486	0.3404025531
487	0.3401356328
488	0.3396666445
489	0.3388696097
490	0.3385758174
491	0.3380283368
492	0.33765483
493	0.3370429616
494	0.3366673336
495	0.3362441263
496	0.3358635304
497	0.3354804049
498	0.3352151144
499	0.3347529305
500	0.3343988686
501	0.3340848323
502	0.333754235
503	0.333706929
504	0.3333615357
505	0.3327914452
506	0.3322261859
507	0.3316881508
508	0.3313901133
509	0.3308379607
510	0.3304335243
511	0.329788953
512	0.3293888929
513	0.3292471583
514	0.3290190764
515	0.3287352501
516	0.3279974539
517	0.3274836432
518	0.3272259236
519	0.3267748797
520	0.3263432663
521	0.3258958262
522	0.3255156266
523	0.3246575202
524	0.3243510951
525	0.3239679543
526	0.3235594337
527	0.322981016
528	0.3225584252
529	0.3223438722
530	0.3219226685
531	0.3215563642
532	0.3211065119
533	0.3205020733
534	0.3200932127
535	0.3195912568
536	0.3193158215
537	0.318890621
538	0.3185900242
539	0.3179807506
540	0.3174392469
541	0.317029165
542	0.3167306388
543	0.3164367234
544	0.3160515997
545	0.3153812783
546	0.3150413375
547	0.3148474458
548	0.3148225364
549	0.3143065463
550	0.3140194843
551	0.3134320617
552	0.312808051
553	0.3125341401
554	0.3121669914
555	0.3117649614
556	0.3108851369
557	0.3101275366
558	0.3096165388
559	0.3091810804
560	0.3089031558
561	0.3084741434
562	0.3082816719
563	0.3079676189
564	0.3076818504
565	0.3072150519
566	0.3067688521
567	0.3066422269
568	0.3062071952
569	0.3061213617
570	0.3057586231
571	0.3054246845
572	0.3050849086
573	0.3048206828
574	0.3045073112
575	0.3042143897
576	0.3030358043
577	0.3023000538
578	0.3021660631
579	0.3017512221
580	0.3011890617
581	0.3009533941
582	0.3005680767
583	0.3000811583
584	0.2997404871
585	0.2995935542
586	0.2992707432
587	0.2987568652
588	0.2985286933
589	0.2983309162
590	0.2980078517
591	0.2971954417
592	0.2970790995
593	0.2968627082
594	0.2966153007
595	0.2962999683
596	0.2955789114
597	0.2951799735
598	0.2946137989
599	0.2941430346
600	0.2938836731
601	0.2934882204
602	0.2931718889
603	0.2929952123
604	0.2927818873
605	0.2926680203
606	0.2922087626
607	0.2918275428
608	0.2913875713
609	0.291008761
610	0.2906964111
611	0.2903520384
612	0.2900357718
613	0.2894607547
614	0.2890957714
615	0.2887453486
616	0.2885052731
617	0.2880017243
618	0.2877421302
619	0.2875366863
620	0.2873322566
621	0.2865768462
622	0.2864180317
623	0.2862279899
624	0.2858804248
625	0.2854822163
626	0.284917089
627	0.2845291925
628	0.2841619439
629	0.2835653034
630	0.2831536705
631	0.2828184522
632	0.2824709532
633	0.2823151938
634	0.2822025073
635	0.2810610437
636	0.2809712191
637	0.2807042081
638	0.280572821
639	0.280125968
640	0.2798688446
641	0.2794795235
642	0.2791109242
643	0.2788861684
644	0.2783296638
645	0.278096066
646	0.2778172345
647	0.2771265428
648	0.2768243404
649	0.2765406292
650	0.2763152353
651	0.2762031336
652	0.2760209494
653	0.275820226
654	0.2755636433
655	0.2753979364
656	0.2752731485
657	0.274996527
658	0.2746959723
659	0.2742175168
660	0.2740501035
661	0.2738202082
662	0.273611087
663	0.273309215
664	0.2728896457
665	0.2727235494
666	0.2725743748
667	0.2723976998
668	0.2720668015
669	0.2718864642
670	0.2716598288
671	0.2715217224
672	0.2714962607
673	0.2713024952
674	0.2707893912
675	0.2705266824
676	0.2703572221
677	0.2701529556
678	0.2699749658
679	0.2691850576
680	0.2689808175
681	0.2687877415
682	0.2682717227
683	0.2680036708
684	0.2676192443
685	0.2674110974
686	0.2672517578
687	0.2669889883
688	0.2668012892
689	0.2666104782
690	0.2665093701
691	0.2660273161
692	0.2658370364
693	0.2656151174
694	0.2653502069
695	0.2653003064
696	0.2650864145
697	0.2648625563
698	0.2647712376
699	0.2643222091
700	0.2640207625
701	0.2635517723
702	0.2633497408
703	0.2627300335
704	0.2623819021
705	0.2621141197
706	0.2618703558
707	0.2617072107
708	0.2615872518
709	0.2613531535
710	0.260884643
711	0.260686632
712	0.2604742206
713	0.2602437988
714	0.2600834028
715	0.2599777918
