iter	Passed	Remaining
0	4	3444
1	9	3257
2	14	3495
3	19	3444
4	23	3292
5	28	3317
6	32	3283
7	36	3235
8	40	3172
9	44	3151
10	48	3083
11	51	2994
12	53	2911
13	57	2889
14	60	2844
15	63	2781
16	66	2732
17	69	2683
18	73	2680
19	76	2671
20	79	2629
21	82	2587
22	84	2553
23	88	2546
24	91	2532
25	94	2497
26	96	2463
27	98	2431
28	101	2410
29	104	2392
30	107	2373
31	109	2350
32	112	2333
33	115	2312
34	118	2299
35	121	2292
36	124	2278
37	126	2260
38	129	2242
39	132	2241
40	135	2235
41	138	2226
42	141	2209
43	143	2192
44	146	2179
45	148	2169
46	152	2166
47	156	2177
48	159	2177
49	163	2175
50	165	2162
51	168	2157
52	172	2157
53	175	2145
54	177	2137
55	180	2127
56	183	2116
57	186	2114
58	189	2109
59	191	2097
60	194	2084
61	196	2071
62	199	2071
63	203	2074
64	206	2067
65	208	2055
66	211	2046
67	213	2036
68	216	2030
69	219	2026
70	222	2020
71	224	2009
72	226	1999
73	229	1990
74	232	1983
75	234	1977
76	237	1969
77	239	1960
78	242	1952
79	244	1943
80	246	1934
81	249	1932
82	252	1925
83	254	1918
84	257	1909
85	260	1905
86	263	1902
87	266	1902
88	269	1898
89	271	1890
90	274	1882
91	276	1875
92	278	1868
93	281	1864
94	284	1859
95	286	1853
96	289	1847
97	292	1841
98	294	1836
99	297	1831
100	300	1830
101	303	1824
102	306	1822
103	308	1817
104	311	1812
105	314	1808
106	316	1803
107	319	1797
108	322	1795
109	325	1791
110	327	1785
111	330	1782
112	333	1778
113	335	1771
114	338	1767
115	340	1762
116	343	1757
117	346	1756
118	349	1751
119	352	1748
120	354	1744
121	357	1739
122	359	1734
123	362	1733
124	365	1729
125	368	1725
126	370	1720
127	373	1715
128	375	1708
129	379	1708
130	382	1706
131	384	1701
132	387	1697
133	389	1692
134	392	1687
135	395	1685
136	397	1680
137	399	1674
138	402	1669
139	404	1664
140	406	1659
141	411	1662
142	413	1658
143	416	1653
144	418	1648
145	421	1643
146	423	1639
147	426	1636
148	428	1632
149	431	1628
150	433	1623
151	436	1617
152	438	1613
153	441	1610
154	444	1608
155	447	1607
156	450	1603
157	453	1601
158	455	1597
159	459	1598
160	463	1596
161	465	1592
162	467	1587
163	470	1582
164	473	1580
165	476	1579
166	479	1575
167	481	1571
168	484	1567
169	486	1562
170	488	1558
171	491	1555
172	494	1553
173	497	1550
174	500	1546
175	503	1543
176	507	1544
177	510	1541
178	512	1537
179	514	1533
180	517	1528
181	520	1526
182	524	1526
183	527	1523
184	529	1519
185	531	1514
186	534	1511
187	536	1507
188	540	1505
189	543	1504
190	545	1500
191	548	1496
192	550	1492
193	553	1488
194	556	1486
195	558	1482
196	561	1478
197	563	1474
198	565	1470
199	568	1466
200	571	1463
201	574	1460
202	576	1457
203	579	1454
204	582	1450
205	584	1447
206	587	1445
207	590	1442
208	593	1438
209	595	1435
210	598	1431
211	600	1428
212	603	1425
213	605	1420
214	607	1416
215	610	1413
216	612	1409
217	615	1406
218	618	1403
219	621	1401
220	624	1399
221	627	1395
222	629	1392
223	632	1389
224	635	1386
225	637	1383
226	640	1379
227	642	1375
228	644	1371
229	647	1368
230	650	1365
231	652	1362
232	656	1360
233	659	1358
234	662	1355
235	665	1352
236	668	1350
237	671	1349
238	674	1346
239	676	1342
240	679	1338
241	681	1335
242	684	1332
243	687	1329
244	689	1325
245	692	1322
246	694	1318
247	697	1315
248	700	1312
249	702	1310
250	705	1306
251	707	1303
252	710	1300
253	713	1298
254	717	1297
255	720	1293
256	722	1289
257	724	1286
258	727	1283
259	729	1280
260	732	1277
261	735	1274
262	737	1270
263	740	1268
264	744	1266
265	746	1262
266	749	1260
267	751	1256
268	754	1252
269	756	1250
270	759	1246
271	762	1243
272	765	1241
273	767	1238
274	770	1234
275	773	1232
